warning: 10 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 5 bindings with single-character names in scope
warning: 6 bindings with single-character names in scope
warning: 6 bindings with single-character names in scope
warning: 6 bindings with single-character names in scope
warning: 6 bindings with single-character names in scope
warning: 6 bindings with single-character names in scope
warning: 6 bindings with single-character names in scope
warning: 7 bindings with single-character names in scope
warning: 7 bindings with single-character names in scope
warning: `as` casting between raw pointers while changing only its constness
warning: `as` casting between raw pointers without changing their constness
warning: `as` casting between raw pointers without changing their constness
warning: `as` casting between raw pointers without changing their constness
warning: adding items after statements is confusing, since items exist from the start of the scope
warning: adding items after statements is confusing, since items exist from the start of the scope
warning: adding items after statements is confusing, since items exist from the start of the scope
warning: an inclusive range would be more readable
warning: an inclusive range would be more readable
warning: assigning the result of `Clone::clone()` may be inefficient
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
warning: binding's name is too similar to existing binding
