warning: operator precedence might not be obvious
warning: unused import: `::libc`
warning: the feature `label_break_value` has been stable since 1.65.0 and no longer requires an attribute to enable
warning: unused variable: `fd`
warning: unused variable: `events`
warning: unused variable: `fd`
warning: unused variable: `events`
warning: unused variable: `arg`
warning: unused variable: `item`
warning: unused variable: `data`
warning: unused variable: `item`
warning: unused variable: `data`
warning: unused variable: `fd`
warning: unused variable: `events`
warning: unused variable: `arg`
warning: unused variable: `arg`
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unused variable: `done`
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unused variable: `item`
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unused variable: `bufev`
warning: unused variable: `bufev`
warning: unused variable: `bufev`
warning: unused variable: `what`
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unused variable: `data`
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
warning: unnecessary `unsafe` block
