warning: constants have by default a `'static` lifetime
warning: literal with an empty format string
warning: literal with an empty format string
warning: literal with an empty format string
warning: literal with an empty format string
warning: literal with an empty format string
warning: literal with an empty format string
warning: this manual char comparison can be written more succinctly
warning: variables can be used directly in the `format!` string
warning: variables can be used directly in the `format!` string
warning: variables can be used directly in the `format!` string
warning: variables can be used directly in the `format!` string
warning: variables can be used directly in the `format!` string
warning: variables can be used directly in the `format!` string
warning: variables can be used directly in the `format!` string
warning: variables can be used directly in the `format!` string
warning: variables can be used directly in the `format!` string
warning: you are using an explicit closure for cloning elements
warning: you are using an explicit closure for cloning elements
