warning: `if` expression with an `else if`, but without a final `else`
warning: operator precedence might not be obvious
warning: operator precedence might not be obvious
warning: operator precedence might not be obvious
warning: operator precedence might not be obvious
warning: operator precedence might not be obvious
warning: operator precedence might not be obvious
warning: operator precedence might not be obvious
warning: operator precedence might not be obvious
warning: operator precedence might not be obvious
warning: missing documentation for the crate
warning: incorrect ordering of items (module item groupings specify another order)
warning: used import from `std` instead of `alloc`
warning: used import from `std` instead of `core`
warning: used import from `std` instead of `alloc`
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: exported structs should not be exhaustive
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: exported structs should not be exhaustive
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: exported structs should not be exhaustive
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: exported structs should not be exhaustive
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: exported structs should not be exhaustive
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: exported structs should not be exhaustive
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: exported structs should not be exhaustive
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
warning: consider bringing this path into scope with the `use` keyword
